drink_name,drink_desc,drink_glass,drink_mix_method,drink_strain,drink_ice_in_glass,drink_isIBA,drink_isActive
20th Century,cocktail from Hitchock's classic North By Northwest,Coupe,Shake w/ Ice,y,n,n,y
Absinthe Cocktail,contains a neurotoxin; probably won't make you go crazy,Absinthe,Stir,n,n,n,y
Alabama Slammer,drink created in the 70s; favorite at Crimson Tide tailgates,Highball,Shake w/ Ice,y,y,n,y
Amaretto Sour,Jeffrey Morganthaler's take on the 70s cocktail,Sour,Dry Shake; Shake w/ Ice,y,n,n,y
Americano,less famous Bond drink; inspired the creation of the Negroni,Highball,Pour into Glass,n,y,y,y
Angel Face,Herry Craddock original from the 30s; looks better stirred,Cocktail,Shake w/ Ice,y,n,y,y
Aviation,forgotten until Crème de Viollete retured to the U.S. in 2007,Cocktail,Shake w/ Ice,y,n,y,y
B-52,layered shooter originating from the 1970s,Shot,Pour into Glass,n,n,y,y
Bacardi,variation of the Daiquiri created after Prohibition,Coupe,Shake w/ Ice,y,n,y,y
Barracuda,invented by Benito Cuccari on a cruise ship to the Caribbeans,Coupe,Shake w/ Ice,y,n,y,y
Bee's Knees,Prohibition cocktail anmed after the popular saying,Cocktail,Shake w/ Ice,y,n,n,y
Bellini,named in reference to Venetian painter Giovanni Bellini,Champagne Flute,Stir,n,n,y,y
Between the Sheets,derived from the Sidecar; alt name: The Maiden's Prayer,Cocktail,Shake w/ Ice,y,n,y,y
Black Russian,invented by Gustave Tops in Belgium in 1949,Rocks,Stir w/ Ice,y,y,y,y
Bloody Mary,breakfast cocktail and hangover cure,Pint,Shake w/ Ice,y,y,y,y
Boulevardier,similar to a Negroni; invented in the 1920s in Paris,Rocks,Stir w/ Ice,y,y,n,y
Bramble,created in the 80s by Dick Bradsell in London,Rocks,Shake w/ Ice,y,y,y,y
Brandy Alexander,created by Troy Alexander at a dinner for Phoebe Snow,Coupe,Shake w/ Ice,y,n,y,y
Caipirinha,"national drink of Brazil; originally a ""cure"" for the Spanish Flu",Rocks,Shake w/ Ice,y,n,y,y
Casino,also known as the Savoy; invented in the 1910s,Cocktail,Shake w/ Ice,y,n,y,y
Champagne Cocktail,first appeared in Jerry Thomas's How to Mix Drinks,Champagne Flute,Pour into Glass,n,n,y,y
Clover Club Cocktail,pre-Prohibition cocktail named after the Philadelphia club,Coupe,Dry Shake; Shake w/ Ice,y,n,y,y
Corpse Reviver #2,"known as a hangover ""cure""; most common Corpse Revivier",Coupe,Shake w/ Ice,y,n,n,y
Cosmopolitan,"riff on the Kamikaze; gained popularity from ""Sex in the City""",Cocktail,Shake w/ Ice,y,n,y,y
Cuba Libre,Rum & Coke; history related to the Spanish-American War,Highball,Pour in Glass,n,y,y,y
Daiquiri,invented in Cuba; gained popularity during WWII,Coupe,Shake w/ Ice,y,n,y,y
Dark & Stormy,trademarked by Gosling Brothers Ltd; similar to Moscow Mule,Collins,Pour into Glass,n,y,y,y
Derby,credited to E.G. de Gastreaux from Cincinatti in the 1900s,Cocktail,Stir w/ Ice,y,n,y,y
Dirty Martini,salty version of the Martini Invented by John O' Connor in 1901,Cocktail,Stir w/ Ice,y,n,y,y
Dry Martini,created in San Francisco or New York; popular Prohibition drink,Cocktail,Stir w/ Ice,y,n,y,y
Eggnog,Jeffrey Morganthaler's version; great holiday drink,Rocks,Blender,n,n,n,y
El Presidente,preferred drink of the upper class in Havana during Prohibition,Cocktail,Stir w/ Ice,y,n,n,y
Espresso Martini,created by Dick Bradsell in the 80s; famous quote about creation,Cocktail,Shake w/ Ice,y,n,y,y
Fernet con Coca,national drink of Argentina; also known as Fernandito,Collins,Pour into Glass,n,y,n,y
Final Ward,variation of the Last Word invented by Phil Ward,Coupe,Shake w/ Ice,y,n,n,y
