drink_id,garnish_id,garnish_notes
1,21,
3,28,
3,10,
4,21,
4,7,
5,27,
7,7,
10,34,
11,21,
12,31,
13,21,
15,9,
15,19,
15,23,
16,27,
17,22,
17,6,
18,18,
19,24,
20,7,
22,35,
24,24,
25,37,
26,24,
27,24,
28,37,
29,25,
30,21,
31,18,
32,27,
33,13,
36,16,
36,11,
37,21,
37,1,2 dashes
39,35,
40,23,
41,33,
42,23,
44,27,
45,27,
47,14,
47,23,
47,36,1 pinch
47,32,1 pinch
48,18,
49,4,
49,29,
50,26,
50,7,
51,24,
52,21,
54,21,
55,34,
55,12,
55,7,
56,39,
56,18,
57,7,
58,17,
58,5,
59,7,
59,22,
60,34,
60,29,
61,23,
62,35,
63,7,
64,38,rim the glass
65,21,
66,37,
67,7,
68,36,rim the glass
68,24,
69,27,
72,37,
73,37,
75,23,
76,37,
77,27,
78,27,
80,27,
81,34,
81,18,
82,36,rim the glass
82,37,
85,29,
85,30,
86,8,
88,7,
88,34,
88,12,
89,2,3 drops
90,37,
90,12,
91,27,
92,18,
93,37,
95,7,
96,7,
97,15,
98,20,
98,5,
100,21,
102,18,
103,21,
105,24,
106,12,
107,38,rim the glass
108,22,
109,26,
111,37,
112,26,
112,10,
113,36,rim the glass
114,21,
114,7,
115,23,
116,21,
117,21,
119,37,
119,3,4 drops
121,21,
124,7,
124,37,
125,37,
125,29,
