drink_id,ingredient_id,ingredient_measurement,ingredient_notes
1,107,1.5,
1,64,0.75,
1,105,0.75,
1,165,0.5,
2,1,1,
2,153,,1 (place on absinthe spoon)
2,93,5,(4.5-6 oz.) pour on sugar cube
3,142,1,
3,146,1,
3,5,1,
3,66,2,
4,5,1.5,
4,20,0.75,
4,64,1,
4,134,0.25,2:1 sugar to water ratio
4,57,,1 egg
5,25,1.5,
5,155,1.5,
5,30,3,fill to top
6,107,1,
6,24,1,sub: Applejack/Apple Brandy
6,12,1,
7,107,2,
7,109,0.5,
7,42,0.5,
7,64,0.75,
8,32,0.333,
8,14,0.333,
8,75,0.333,sub: Cointreau
9,13,2,sub: any light rum
9,82,0.75,
9,65,0.75,
10,72,1.5,
10,68,0.5,
10,124,2,
10,65,0.25,
10,127,1,add after shaking/straining
11,107,2,
11,64,0.75,
11,87,0.5,
12,120,2,
12,127,4,
13,104,1,
13,33,1,
13,160,1,sub: Cointreau
13,64,0.75,
14,97,1,
14,163,2,
15,163,2,
15,158,4,
15,156,,2 dashes
15,88,0.333,
15,170,,2 dashes
15,106,,
15,103,,
15,26,,use citrus wedge on glass lip and coat
15,16,,1 pinch
15,144,,1 pinch
16,20,1.25,
16,25,1,
16,155,1,
17,107,1.5,
17,64,1,
17,141,0.5,
17,41,0.5,add after shaking/straining over crushed ice
18,33,1.5,
18,46,1,
18,37,1,
19,23,2,
19,168,,1; quartered
19,154,0.25,2 barspoons
20,111,1.5,
20,109,0.75,
20,64,0.5,
20,113,,1 dash
21,153,,1 cube
21,8,,2 dashes
21,33,0.25,
21,28,,fill to top
22,107,2,
22,131,0.5,
22,64,0.75,
22,57,,1 egg
23,107,0.75,
23,98,0.75,sub: Cocchi Americano
23,64,0.75,
23,52,0.75,
24,163,2,
24,36,1,
24,52,1,
24,141,0.25,
24,65,0.5,
25,104,2,
25,65,1,
25,35,2,
25,140,2,fill to top
26,104,2,
26,65,1,
26,50,1,
27,47,2,preferably Gosling's rum
27,65,0.5,
27,70,,fill to top
28,110,,5; muddle in stirring glass
28,107,2,
28,118,,2 dashes
29,107,2.5,
29,54,0.5,
29,112,0.5,
30,107,2.5,
30,54,0.5,
30,113,,1 dash
31,167,,1 egg
31,152,3,
31,33,1,
31,148,1,
31,169,3,
31,85,2,
31,79,0.04,0.25 tsp
32,72,1.5,
32,105,1.5,sub: blanc vermouth
32,52,0.25,
32,82,0.125,barspoon
33,163,2,
33,32,0.5,
33,141,0.5,
33,58,2,
34,61,1,
34,31,2.5,
35,137,1,
35,80,1,
35,109,1,
35,64,1,
36,137,1,
36,133,1,sub: light rum
36,1,,1 dash
36,8,,2 dashes
36,82,0.5,
36,129,0.5,
36,51,0.25,
36,27,0.25,
37,107,2,
37,141,0.5,
37,64,1,
37,28,3,add after shaking/straining
38,33,1.5,
38,5,1,
39,163,2,
39,27,0.5,
39,124,1.5,
40,152,4,
40,92,4.15,
40,149,8,
40,67,25,
40,64,2.5,
41,107,2.5,
41,54,1,
41,113,,2 dashes
42,107,2,
42,159,2,
42,65,0.25,to taste
43,107,2,
43,64,1,
43,141,0.75,
43,57,,1 egg
43,30,1,add after shaking/straining
44,139,2,
44,5,0.5,
45,163,2,
45,5,0.5,
46,68,1.5,
46,34,1.5,sub: any orange liqueur
46,66,1.5,
46,37,0.75,
47,106,,8; muddle
47,45,,4; muddle
47,107,2,
47,141,0.75,
48,81,1,
48,165,1,
48,85,1,
49,20,1.5,
49,82,0.08,0.5 tsp
49,50,0.25,
49,64,0.5,
49,66,0.5,
49,124,0.5,
50,163,1.25,
50,66,3,
50,68,0.5,
51,104,2,
51,109,0.25,
51,76,0.25,
51,65,0.75,
52,20,2,
52,69,3,
52,8,,2 dashes
53,96,,
53,49,0.25,2 barspoons
53,3,,1 pinch
53,161,0.5,
53,91,4,
54,164,2,
54,141,0.5,
54,8,,2 dashes
54,91,4,
55,143,1,sub: any jamaican rum
55,104,1,
55,60,0.75,
55,65,0.5,
55,66,0.75,
56,94,1,
56,141,0.5,
56,89,3.5,
